restaurant_id,restaurant_name,address,image_path_02
82,Bánh Canh Cua 14 - Trần Bình Trọng,"221 Trần Bình Trọng, P. 3, Quận 5, TP. HCM",images/banh_mi_bay_ho_589.jpg
83,Gà Rán KFC - Lotte Mart Gò Vấp,"242 Nguyễn Văn Lượng, P. 10, Quận Gò Vấp, TP. HCM",images/banh_mi_bay_quang_555.jpg
84,A Mao - Mì Súp Đài Loan - Lê Hồng Phong,"80 Lê Hồng Phong, P. 2, Quận 5, TP. HCM",images/banh_mi_cham_hung_tubes__hai_ba_trung_749.jpg
85,Quảng Ngãi Quán 76 - Ram - Lê Thúc Hoạch,"81 Lê Thúc Hoạch, P. Phú Thọ Hòa, Quận Tân Phú, TP. HCM",images/banh_mi_chao_16__banh_mi_chao_7_mon__16_nguyen_van_vinh_709.jpg
86,Cộng Cà Phê - Trường Sa,"336 Trường Sa, Quận Phú Nhuận, TP. HCM",images/banh_mi_chien_tom_hieu_thi_91__nguyen_thuong_hien_386.jpg
87,Vịt Quay Khai Phát - Âu Cơ,"94 Âu Cơ, P. 9, Quận Tân Bình, TP. HCM",images/banh_mi_chim_chay__thit_nuong_than_326.jpg
88,Royaltea - Trần Hưng Đạo,"391TK44/23 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",images/banh_mi_ga_an_an__nguyen_trai_686.jpg
89,Mì Trộn Tên Lửa - 462 Trần Hưng Đạo,"462 Trần Hưng Đạo, P. 2, Quận 5, TP. HCM",images/banh_mi_ga_an_an__nguyen_trai_687.jpg
90,Nhà Hàng Tropical - Hoàng Phú Gia Hotel,"19C Bùi Thị Xuân, Quận 1, TP. HCM",images/banh_mi_grandma_lu__co_bac_409.jpg
91,Basax - Chicken & Korean Food - E Mart Gò Vấp,"366 Phan Văn Trị, P. 5, Quận Gò Vấp, TP. HCM",images/banh_mi_ha_noi_109.jpg
92,Cơm Tấm Hoàng Gia,"57 Bửu Đình, Quận 6, TP. HCM",images/banh_mi_ha_noi_114.jpg
